name|ra_hms|dec_dms|magnitude
Sirius|06 45 08.91728|-16 42 58.0171|-1.46
Canopus|06 23 57.10988|-52 41 44.3810|-0.74
Rigil Kentaurus|14 39 36.49400|-60 50 02.3737|-0.27
Arcturus|14 15 39.67207|+19 10 56.6730|-0.05
Vega|18 36 56.33635|+38 47 01.2802|0.03
Capella|05 16 41.35871|+45 59 52.7693|0.08
Rigel|05 14 32.27210|-08 12 05.8981|0.13
Procyon|07 39 18.11950|+05 13 29.9552|0.34
Achernar|01 37 42.84548|-57 14 12.3101|0.46
Betelgeuse|05 55 10.30536|+07 24 25.4304|0.50
Hadar|14 03 49.40535|-60 22 22.9266|0.61
Altair|19 50 46.99855|+08 52 05.9563|0.76
Acrux|12 26 35.89600|-63 05 56.7301|0.76
Aldebaran|04 35 55.23907|+16 30 33.4885|0.86
Antares|16 29 24.45970|-26 25 55.2094|0.96
Spica|13 25 11.57937|-11 09 40.7501|0.97
Pollux|07 45 18.94987|+28 01 34.3160|1.14
Fomalhaut|22 57 39.04625|-29 37 20.0533|1.16
Deneb|20 41 25.91514|+45 16 49.2197|1.25
Mimosa|12 47 43.26877|-59 41 19.5792|1.25
Regulus|10 08 22.31099|+11 58 01.9516|1.39
Adhara|06 58 37.54876|-28 58 19.5102|1.50
Castor|07 34 35.86283|+31 53 17.7943|1.58
Shaula|17 33 36.52012|-37 06 13.7640|1.62
Gacrux|12 31 09.95961|-57 06 47.5684|1.64
Bellatrix|05 25 07.86325|+06 20 58.9318|1.64
Elnath|05 26 17.51312|+28 36 26.8262|1.65
Miaplacidus|09 13 11.97746|-69 43 01.9473|1.69
Alnilam|05 36 12.81335|-01 12 06.9089|1.69
Regor|08 09 31.95013|-47 20 11.7108|1.72
Alnair|22 08 13.98473|-46 57 39.5078|1.74
Alnitak|05 40 45.52714|-01 56 33.2604|1.77
Alioth|12 54 01.74959|+55 57 35.3626|1.77
Dubhe|11 03 43.67152|+61 45 03.7249|1.79
Mirfak|03 24 19.37009|+49 51 40.2454|1.80
Wezen|07 08 23.48405|-26 23 35.5184|1.82
Sargas|17 37 19.12985|-42 59 52.1808|1.84
Kaus Australis|18 24 10.31840|-34 23 04.6193|1.85
Avior|08 22 30.83526|-59 30 34.1431|1.86
Alkaid|13 47 32.43776|+49 18 47.7602|1.86
Menkalinan|05 59 31.72293|+44 56 50.7573|1.89
Atria|16 48 39.89508|-69 01 39.7626|1.91
Alhena|06 37 42.71050|+16 23 57.4095|1.92
Peacock|20 25 38.85705|-56 44 06.3230|1.94
Alsephina|08 44 42.22638|-54 42 31.7557|1.96
Mirzam|06 22 41.98535|-17 57 21.3073|1.98
Polaris|02 31 49.09456|+89 15 50.7923|1.98
Alphard|09 27 35.24270|-08 39 30.9583|2.00
Hamal|02 07 10.40570|+23 27 44.7032|2.00
Diphda|00 43 35.37090|-17 59 11.7827|2.02
Mizar|13 23 55.54228|+54 55 31.2956|2.04
Nunki|18 55 15.92650|-26 17 48.2068|2.05
Menkent|14 06 40.94752|-36 22 11.8371|2.06
Alpheratz|00 08 23.25988|+29 05 25.5520|2.06
Mirach|01 09 43.92388|+35 37 14.0075|2.07
Rasalhague|17 34 56.06945|+12 33 36.1346|2.07
Kochab|14 50 42.32580|+74 09 19.8142|2.08
Algieba|10 19 58.35056|+19 50 29.3468|2.08
Saiph|05 47 45.38884|-09 40 10.5777|2.09
Denebola|11 49 03.57834|+14 34 19.4090|2.11
Algol|03 08 10.13245|+40 57 20.3280|2.12
Tiaki|22 42 40.05027|-46 53 04.4752|2.15
Muhlifain|12 41 31.04008|-48 57 35.5375|2.17
Aspidiske|09 17 05.40685|-59 16 30.8353|2.21
Suhail|09 07 59.75787|-43 25 57.3273|2.21
Alphecca|15 34 41.26800|+26 42 52.8940|2.22
Mintaka|05 32 00.40009|-00 17 56.7424|2.23
Sadr|20 22 13.70184|+40 15 24.0449|2.23
Eltanin|17 56 36.36988|+51 29 20.0242|2.23
Schedar|00 40 30.44107|+56 32 14.3922|2.24
Naos|08 03 35.04754|-40 00 11.3321|2.25
Almach|02 03 53.95229|+42 19 47.0223|2.26
Caph|00 09 10.68518|+59 08 59.2120|2.28
Izar|14 44 59.21746|+27 04 27.2099|2.29
Alpha Lupi|14 41 55.75578|-47 23 17.5154|2.30
Epsilon Centauri|13 39 53.25774|-53 27 59.0081|2.30
Larawag|16 50 09.81081|-34 17 35.6337|2.31
Eta Centauri|14 35 30.42416|-42 09 28.1707|2.35
Merak|11 01 50.47975|+56 22 56.7611|2.37
Ankaa|00 26 17.05140|-42 18 21.5539|2.38
Phecda|11 53 49.80000|+53 41 41.0000|2.43
Edasich|15 24 55.77840|+58 57 57.8340|3.29
Megrez|12 15 25.60000|+57 01 57.0000|3.31
Thuban|14 04 23.39400|+64 22 33.0600|3.67
HIP 73199|14 57 35.07480|+65 55 56.8560|4.63
